"Sequencing.Depth","Evenness.distribution","n","mean","sd"
"10","2",9,30.7777777777778,3.56292638773866
"10","3",9,30.2222222222222,4.43784231856478
"30","2",9,31.2222222222222,3.83333333333333
"30","3",9,25.4444444444444,6.28711203795334
"60","2",9,26.3333333333333,5.22015325445527
"60","3",9,23.3333333333333,6.91013748054263
"120","2",9,33,7.36545993132812
"120","3",9,26.7777777777778,9.64076990931972
"180","2",9,30.2222222222222,10.5803801654026
"180","3",9,27,8.47053717304871
