"Sequencing.Depth","Evenness.distribution","n","mean","sd"
"10","2",9,21.2222222222222,14.7290340635238
"10","3",9,23,15.0665191733194
"30","2",9,19.7777777777778,12.8916424261785
"30","3",9,28.2222222222222,10.7212146907169
"60","2",9,26.6666666666667,12.4298028946561
"60","3",9,32.7777777777778,15.1309102318547
"120","2",9,19.5555555555556,15.7171173494944
"120","3",9,28.6666666666667,19.1180542943052
"180","2",9,22.6666666666667,18.9934199132226
"180","3",9,27.5555555555556,17.9729735374472
