"Sequencing.Depth","Evenness.distribution","n","mean","sd"
"10","2",9,11.2222222222222,3.56292638773866
"10","3",9,11.7777777777778,4.43784231856478
"30","2",9,10.7777777777778,3.83333333333333
"30","3",9,16.5555555555556,6.28711203795334
"60","2",9,15.6666666666667,5.22015325445528
"60","3",9,18.6666666666667,6.91013748054263
"120","2",9,9,7.36545993132812
"120","3",9,15.2222222222222,9.64076990931972
"180","2",9,11.7777777777778,10.5803801654026
"180","3",9,15,8.47053717304871
