user_genome	Domain	Phylum	Class	Order	Family	Genus	Species
C.5.V.60-8K-bin.39	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
C.5.V.60-8K-bin.38	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens_A
C.5.V.60-8K-bin.37	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.V.60-8K-bin.36	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens_A
C.5.V.60-8K-bin.35	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.V.60-8K-bin.34	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	Pseudothermotoga thermarum
C.5.V.60-8K-bin.33	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Plesiomonas	Plesiomonas shigelloides
C.5.V.60-8K-bin.32	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Plesiomonas	Plesiomonas shigelloides
C.5.V.60-8K-bin.31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus
C.5.V.60-8K-bin.30	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A caldifontis
C.5.V.60-8K-bin.3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
C.5.V.60-8K-bin.29	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Plesiomonas	Plesiomonas shigelloides
C.5.V.60-8K-bin.28	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus
C.5.V.60-8K-bin.27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Nitratireductor_B	Nitratireductor_B basaltis
C.5.V.60-8K-bin.26	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
C.5.V.60-8K-bin.25	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	Pseudothermotoga thermarum
