"group1","group2","n1","n2","p","p.adj","p.adj.signif"
"8K","DT",3,3,0.093,0.278,"ns"
"8K","MM",3,3,0.057,0.172,"ns"
"DT","MM",3,3,0.13,0.39,"ns"
