bin_id,eve_class,sample,evenness,taxonomy,depth,pipeline,coverage,rel_abd
B.1.O.60-8K-bin.10,equal,B,1,O,60,8K,61,0.018294395
B.1.O.60-8K-bin.11,equal,B,1,O,60,8K,61,0.014413999
B.1.O.60-8K-bin.12,equal,B,1,O,60,8K,61,0.011765495
B.1.O.60-8K-bin.13,equal,B,1,O,60,8K,61,0.00892892
B.1.O.60-8K-bin.14,equal,B,1,O,60,8K,61,0.00892892
B.1.O.60-8K-bin.15,equal,B,1,O,60,8K,61,0.016019733
B.1.O.60-8K-bin.16,equal,B,1,O,60,8K,61,0.014010334
B.1.O.60-8K-bin.17,equal,B,1,O,60,8K,61,0.008446097
B.1.O.60-8K-bin.18,equal,B,1,O,60,8K,60,0.007335244
B.1.O.60-8K-bin.19,equal,B,1,O,60,8K,61,0.011854428
B.1.O.60-8K-bin.2,equal,B,1,O,60,8K,61,0.00892892
B.1.O.60-8K-bin.20,equal,B,1,O,60,8K,61,0.007585712
B.1.O.60-8K-bin.21,equal,B,1,O,60,8K,61,0.011440372
B.1.O.60-8K-bin.22,equal,B,1,O,60,8K,61,0.011765495
B.1.O.60-8K-bin.23,equal,B,1,O,60,8K,61,0.01867621
B.1.O.60-8K-bin.24,equal,B,1,O,60,8K,61,0.017861609
B.1.O.60-8K-bin.25,equal,B,1,O,60,8K,61,0.023937957
B.1.O.60-8K-bin.26,equal,B,1,O,60,8K,60,0.007335244
B.1.O.60-8K-bin.27,equal,B,1,O,60,8K,61,0.011440372
B.1.O.60-8K-bin.28,equal,B,1,O,60,8K,61,0.02500351
B.1.O.60-8K-bin.29,equal,B,1,O,60,8K,61,0.018294395
B.1.O.60-8K-bin.3,equal,B,1,O,60,8K,61,0.023906301
B.1.O.60-8K-bin.30,equal,B,1,O,60,8K,61,0.016019733
B.1.O.60-8K-bin.31,equal,B,1,O,60,8K,61,0.007585712
B.1.O.60-8K-bin.32,equal,B,1,O,60,8K,61,0.024427235
B.1.O.60-8K-bin.33,equal,B,1,O,60,8K,61,0.013808269
B.1.O.60-8K-bin.34,equal,B,1,O,60,8K,61,0.007585712
B.1.O.60-8K-bin.35,equal,B,1,O,60,8K,61,0.008446097
B.1.O.60-8K-bin.36,equal,B,1,O,60,8K,61,0.007585712
B.1.O.60-8K-bin.37,equal,B,1,O,60,8K,61,0.025036735
B.1.O.60-8K-bin.38,equal,B,1,O,60,8K,61,0.013808269
B.1.O.60-8K-bin.39,equal,B,1,O,60,8K,61,0.017861609
B.1.O.60-8K-bin.4,equal,B,1,O,60,8K,61,0.016019733
B.1.O.60-8K-bin.40,equal,B,1,O,60,8K,61,0.011765495
B.1.O.60-8K-bin.41,equal,B,1,O,60,8K,61,0.01605139
B.1.O.60-8K-bin.42,equal,B,1,O,60,8K,61,0.023906301
B.1.O.60-8K-bin.43,equal,B,1,O,60,8K,61,0.011440372
B.1.O.60-8K-bin.44,equal,B,1,O,60,8K,61,0.025991606
B.1.O.60-8K-bin.45,equal,B,1,O,60,8K,61,0.018294395
B.1.O.60-8K-bin.46,equal,B,1,O,60,8K,61,0.012337267
B.1.O.60-8K-bin.47,equal,B,1,O,60,8K,61,0.008446097
B.1.O.60-8K-bin.48,equal,B,1,O,60,8K,61,0.01779963
B.1.O.60-8K-bin.49,equal,B,1,O,60,8K,60,0.007335244
B.1.O.60-8K-bin.5,equal,B,1,O,60,8K,61,0.024073674
B.1.O.60-8K-bin.50,equal,B,1,O,60,8K,61,0.017861609
B.1.O.60-8K-bin.6,equal,B,1,O,60,8K,60,0.007335244
B.1.O.60-8K-bin.7,equal,B,1,O,60,8K,61,0.011440372
B.1.O.60-8K-bin.8,equal,B,1,O,60,8K,61,0.00892892
B.1.O.60-8K-bin.9,equal,B,1,O,60,8K,61,0.008446097
B.1.O.60-DT-bin.1,equal,B,1,O,60,DT,60,0.007565864
B.1.O.60-DT-bin.10,equal,B,1,O,60,DT,61,0.011942643
B.1.O.60-DT-bin.11,equal,B,1,O,60,DT,60,0.011870289
B.1.O.60-DT-bin.13,equal,B,1,O,60,DT,61,0.012848794
B.1.O.60-DT-bin.14,equal,B,1,O,60,DT,61,0.021922704
B.1.O.60-DT-bin.15,equal,B,1,O,60,DT,60,0.016429803
B.1.O.60-DT-bin.16,equal,B,1,O,60,DT,59,0.011462889
B.1.O.60-DT-bin.17,equal,B,1,O,60,DT,61,0.013100864
B.1.O.60-DT-bin.18,equal,B,1,O,60,DT,59,0.017837391
B.1.O.60-DT-bin.19,equal,B,1,O,60,DT,60,0.022392184
B.1.O.60-DT-bin.2,equal,B,1,O,60,DT,60,0.01678363
B.1.O.60-DT-bin.20,equal,B,1,O,60,DT,60,0.024490982
B.1.O.60-DT-bin.22,equal,B,1,O,60,DT,60,0.015614101
B.1.O.60-DT-bin.23,equal,B,1,O,60,DT,64,0.012196313
B.1.O.60-DT-bin.24,equal,B,1,O,60,DT,59,0.009307415
B.1.O.60-DT-bin.25,equal,B,1,O,60,DT,60,0.014790126
B.1.O.60-DT-bin.26,equal,B,1,O,60,DT,61,0.020897465
B.1.O.60-DT-bin.27,equal,B,1,O,60,DT,62,0.012777408
B.1.O.60-DT-bin.3,equal,B,1,O,60,DT,60,0.019018929
B.1.O.60-DT-bin.4,equal,B,1,O,60,DT,59,0.018694189
B.1.O.60-DT-bin.5,equal,B,1,O,60,DT,64,0.009889128
