Bin.Id	Community	Abundance_distribution	Taxonomic_distribution	Depth	Pipeline	Marker lineage	Completeness	Contamination	Strain heterogeneity
B.3.C.60-8K-bin.33	B	3	C	60	8K	o__Sphingomonadales (UID3310)	94.36	0.34	0
B.3.C.60-8K-bin.34	B	3	C	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.C.60-8K-bin.35	B	3	C	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.3.C.60-8K-bin.36	B	3	C	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.C.60-8K-bin.37	B	3	C	60	8K	o__Sphingomonadales (UID3310)	71.49	0	0
B.3.C.60-8K-bin.38	B	3	C	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.C.60-8K-bin.39	B	3	C	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.3.C.60-8K-bin.4	B	3	C	60	8K	f__Micrococcaceae (UID1623)	98.32	1.19	25
B.3.C.60-8K-bin.40	B	3	C	60	8K	o__Rhizobiales (UID3481)	92.01	0.44	0
B.3.C.60-8K-bin.41	B	3	C	60	8K	o__Flavobacteriales (UID2815)	100	0	0
B.3.C.60-8K-bin.42	B	3	C	60	8K	o__Actinomycetales (UID1812)	99.67	0.79	0
B.3.C.60-8K-bin.43	B	3	C	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.C.60-8K-bin.44	B	3	C	60	8K	f__Vibrionaceae (UID4868)	94.77	0.64	0
B.3.C.60-8K-bin.45	B	3	C	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.3.C.60-8K-bin.46	B	3	C	60	8K	f__Rhodobacteraceae (UID3356)	96.11	0.04	0
B.3.C.60-8K-bin.47	B	3	C	60	8K	o__Sphingomonadales (UID3310)	71.49	0	0
B.3.C.60-8K-bin.48	B	3	C	60	8K	o__Rhizobiales (UID3481)	92.01	0.44	0
B.3.C.60-8K-bin.49	B	3	C	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.C.60-8K-bin.5	B	3	C	60	8K	o__Actinomycetales (UID1812)	99.67	0.79	0
B.3.C.60-8K-bin.50	B	3	C	60	8K	f__Vibrionaceae (UID4868)	95.04	0.8	0
B.3.C.60-8K-bin.51	B	3	C	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.3.C.60-8K-bin.6	B	3	C	60	8K	f__Micrococcaceae (UID1623)	98.32	1.19	25
B.3.C.60-8K-bin.7	B	3	C	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.C.60-8K-bin.8	B	3	C	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.C.60-8K-bin.9	B	3	C	60	8K	f__Bifidobacteriaceae (UID1458)	79.39	0	0
B.3.C.60-DT-bin.1	B	3	C	60	DT	o__Actinomycetales (UID1590)	95	0.59	0
B.3.C.60-DT-bin.10	B	3	C	60	DT	g__Bacillus (UID864)	99.33	0.16	50
B.3.C.60-DT-bin.11	B	3	C	60	DT	o__Actinomycetales (UID1812)	99.67	3.29	2.94
B.3.C.60-DT-bin.12	B	3	C	60	DT	o__Sphingomonadales (UID3310)	99.14	0.96	64.29
B.3.C.60-DT-bin.13	B	3	C	60	DT	o__Actinomycetales (UID1812)	98.9	0.55	0
B.3.C.60-DT-bin.14	B	3	C	60	DT	f__Bifidobacteriaceae (UID1458)	91.82	6.21	21.05
B.3.C.60-DT-bin.15	B	3	C	60	DT	f__Halobacteriaceae (UID85)	65.45	1.2	25
B.3.C.60-DT-bin.16	B	3	C	60	DT	k__Archaea (UID2)	69.4	16.39	1.79
B.3.C.60-DT-bin.17	B	3	C	60	DT	c__Thermoprotei (UID148)	100	0	0
B.3.C.60-DT-bin.18	B	3	C	60	DT	f__Halobacteriaceae (UID85)	98.25	1.27	0
B.3.C.60-DT-bin.19	B	3	C	60	DT	c__Thermoprotei (UID148)	99.37	0	0
B.3.C.60-DT-bin.2	B	3	C	60	DT	k__Bacteria (UID203)	61.91	28.94	3.3
B.3.C.60-DT-bin.20	B	3	C	60	DT	f__Bifidobacteriaceae (UID1462)	94.59	6.68	40.62
B.3.C.60-DT-bin.21	B	3	C	60	DT	o__Rhizobiales (UID3481)	92.01	0.44	0
B.3.C.60-DT-bin.22	B	3	C	60	DT	f__Micrococcaceae (UID1623)	98.32	1.19	25
B.3.C.60-DT-bin.23	B	3	C	60	DT	o__Sphingomonadales (UID3310)	97.81	9.64	4
B.3.C.60-DT-bin.24	B	3	C	60	DT	c__Thermoprotei (UID148)	100	1.27	0
B.3.C.60-DT-bin.25	B	3	C	60	DT	o__Flavobacteriales (UID2815)	100	0	0
B.3.C.60-DT-bin.26	B	3	C	60	DT	f__Rhodobacteraceae (UID3340)	99.7	0.38	0
B.3.C.60-DT-bin.27	B	3	C	60	DT	f__Rhodobacteraceae (UID3356)	96.11	0.04	0
B.3.C.60-DT-bin.28	B	3	C	60	DT	o__Campylobacterales (UID3068)	95.46	0.12	0
B.3.C.60-DT-bin.29	B	3	C	60	DT	o__Campylobacterales (UID3068)	99.06	1.47	0
B.3.C.60-DT-bin.3	B	3	C	60	DT	f__Halobacteriaceae (UID85)	99.53	0.4	0
B.3.C.60-DT-bin.4	B	3	C	60	DT	g__Bacillus (UID864)	99.36	0.17	33.33
B.3.C.60-DT-bin.5	B	3	C	60	DT	k__Bacteria (UID203)	77.19	3.19	0
B.3.C.60-DT-bin.6	B	3	C	60	DT	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.C.60-DT-bin.7	B	3	C	60	DT	f__Bacillaceae (UID829)	98.66	2.67	0
B.3.C.60-DT-bin.8	B	3	C	60	DT	f__Bifidobacteriaceae (UID1458)	21.97	0	0
B.3.C.60-DT-bin.9	B	3	C	60	DT	k__Bacteria (UID203)	98.35	12.54	19.05
B.3.C.60-MM-bin.1	B	3	C	60	MM	o__Actinomycetales (UID1812)	97.4	0.79	0
B.3.C.60-MM-bin.10	B	3	C	60	MM	f__Rhodobacteraceae (UID3356)	98.65	0.35	0
B.3.C.60-MM-bin.11	B	3	C	60	MM	o__Sphingomonadales (UID3310)	79.3	7.83	25.64
B.3.C.60-MM-bin.12	B	3	C	60	MM	o__Campylobacterales (UID3068)	91.46	2	14.29
B.3.C.60-MM-bin.13	B	3	C	60	MM	f__Rhodobacteraceae (UID3356)	98.25	1.48	0
B.3.C.60-MM-bin.14	B	3	C	60	MM	o__Actinomycetales (UID1590)	95	0	0
B.3.C.60-MM-bin.15	B	3	C	60	MM	f__Micrococcaceae (UID1623)	98.32	5.38	16
B.3.C.60-MM-bin.16	B	3	C	60	MM	o__Rhizobiales (UID3481)	69.32	0.04	0
B.3.C.60-MM-bin.2	B	3	C	60	MM	f__Bifidobacteriaceae (UID1458)	99.24	0	0
B.3.C.60-MM-bin.3	B	3	C	60	MM	f__Bifidobacteriaceae (UID1462)	86.18	0.46	100
B.3.C.60-MM-bin.4	B	3	C	60	MM	f__Bifidobacteriaceae (UID1458)	96.52	0.98	0
B.3.C.60-MM-bin.5	B	3	C	60	MM	f__Rhodobacteraceae (UID3340)	96.67	0.23	0
B.3.C.60-MM-bin.6	B	3	C	60	MM	o__Sphingomonadales (UID3310)	92.17	2.79	21.05
B.3.C.60-MM-bin.7	B	3	C	60	MM	o__Flavobacteriales (UID2815)	98.04	0	0
B.3.C.60-MM-bin.8	B	3	C	60	MM	f__Vibrionaceae (UID4868)	96.95	0.96	11.11
B.3.C.60-MM-bin.9	B	3	C	60	MM	o__Campylobacterales (UID3068)	85.83	0.47	50
B.3.N.60-8K-bin.1	B	3	N	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.N.60-8K-bin.10	B	3	N	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.3.N.60-8K-bin.11	B	3	N	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.N.60-8K-bin.12	B	3	N	60	8K	f__Bifidobacteriaceae (UID1458)	83.94	0	0
B.3.N.60-8K-bin.13	B	3	N	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.N.60-8K-bin.14	B	3	N	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.N.60-8K-bin.15	B	3	N	60	8K	g__Bacillus (UID864)	99.59	0.06	0
B.3.N.60-8K-bin.16	B	3	N	60	8K	f__Rhodobacteraceae (UID3340)	95.61	0	0
B.3.N.60-8K-bin.17	B	3	N	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.3.N.60-8K-bin.18	B	3	N	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.N.60-8K-bin.19	B	3	N	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.N.60-8K-bin.2	B	3	N	60	8K	g__Bacillus (UID864)	99.59	0.06	0
B.3.N.60-8K-bin.20	B	3	N	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.N.60-8K-bin.21	B	3	N	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.N.60-8K-bin.22	B	3	N	60	8K	f__Micrococcaceae (UID1631)	97.95	0	0
B.3.N.60-8K-bin.23	B	3	N	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.3.N.60-8K-bin.24	B	3	N	60	8K	f__Bifidobacteriaceae (UID1458)	100	0.98	25
B.3.N.60-8K-bin.25	B	3	N	60	8K	f__Bifidobacteriaceae (UID1458)	83.94	0	0
B.3.N.60-8K-bin.26	B	3	N	60	8K	f__Micrococcaceae (UID1631)	97.95	0	0
B.3.N.60-8K-bin.27	B	3	N	60	8K	f__Bifidobacteriaceae (UID1458)	100	0.98	25
B.3.N.60-8K-bin.28	B	3	N	60	8K	f__Micrococcaceae (UID1623)	98.32	1.15	33.33
B.3.N.60-8K-bin.29	B	3	N	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.3.N.60-8K-bin.3	B	3	N	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.3.N.60-8K-bin.30	B	3	N	60	8K	o__Sphingomonadales (UID3310)	99.25	0.34	0
B.3.N.60-8K-bin.31	B	3	N	60	8K	f__Bifidobacteriaceae (UID1458)	100	0.98	25
B.3.N.60-8K-bin.32	B	3	N	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.3.N.60-8K-bin.33	B	3	N	60	8K	f__Bifidobacteriaceae (UID1458)	83.94	0	0
B.3.N.60-8K-bin.34	B	3	N	60	8K	g__Bacillus (UID864)	99.59	0.06	0
B.3.N.60-8K-bin.35	B	3	N	60	8K	f__Bifidobacteriaceae (UID1458)	100	0.98	25
B.3.N.60-8K-bin.36	B	3	N	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.N.60-8K-bin.37	B	3	N	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.3.N.60-8K-bin.38	B	3	N	60	8K	f__Micrococcaceae (UID1623)	98.32	1.15	33.33
B.3.N.60-8K-bin.39	B	3	N	60	8K	o__Sphingomonadales (UID3310)	96.68	0.02	0
B.3.N.60-8K-bin.4	B	3	N	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.3.N.60-8K-bin.40	B	3	N	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.N.60-8K-bin.41	B	3	N	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.N.60-8K-bin.42	B	3	N	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.3.N.60-8K-bin.43	B	3	N	60	8K	f__Bacillaceae (UID829)	95.93	1.03	0
B.3.N.60-8K-bin.44	B	3	N	60	8K	f__Bifidobacteriaceae (UID1458)	83.94	0	0
B.3.N.60-8K-bin.45	B	3	N	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.N.60-8K-bin.46	B	3	N	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.3.N.60-8K-bin.47	B	3	N	60	8K	f__Rhodobacteraceae (UID3356)	96.11	0.04	0
B.3.N.60-8K-bin.48	B	3	N	60	8K	f__Micrococcaceae (UID1631)	97.95	0	0
B.3.N.60-8K-bin.5	B	3	N	60	8K	f__Micrococcaceae (UID1631)	97.95	0	0
B.3.N.60-8K-bin.6	B	3	N	60	8K	f__Micrococcaceae (UID1623)	98.32	1.15	33.33
B.3.N.60-8K-bin.7	B	3	N	60	8K	g__Bacillus (UID864)	99.59	0.06	0
B.3.N.60-8K-bin.8	B	3	N	60	8K	f__Micrococcaceae (UID1623)	98.32	1.15	33.33
B.3.N.60-8K-bin.9	B	3	N	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.3.N.60-DT-bin.1	B	3	N	60	DT	o__Sphingomonadales (UID3310)	99.25	1.84	16.67
B.3.N.60-DT-bin.10	B	3	N	60	DT	f__Bifidobacteriaceae (UID1458)	100	0.98	25
B.3.N.60-DT-bin.11	B	3	N	60	DT	o__Rhizobiales (UID3481)	99.44	0.44	0
B.3.N.60-DT-bin.12	B	3	N	60	DT	f__Rhodobacteraceae (UID3356)	31.2	0.3	0
B.3.N.60-DT-bin.13	B	3	N	60	DT	k__Bacteria (UID203)	60.19	31.45	3.73
B.3.N.60-DT-bin.14	B	3	N	60	DT	o__Campylobacterales (UID3068)	98.17	1.65	0
B.3.N.60-DT-bin.15	B	3	N	60	DT	c__Thermoprotei (UID148)	99.37	0	0
B.3.N.60-DT-bin.16	B	3	N	60	DT	c__Thermoprotei (UID148)	100	0.63	0
B.3.N.60-DT-bin.17	B	3	N	60	DT	f__Halobacteriaceae (UID85)	99.53	0	0
B.3.N.60-DT-bin.18	B	3	N	60	DT	g__Bacillus (UID864)	99.59	0.06	0
B.3.N.60-DT-bin.19	B	3	N	60	DT	o__Actinomycetales (UID1812)	97.58	1.32	0
B.3.N.60-DT-bin.2	B	3	N	60	DT	f__Micrococcaceae (UID1631)	99.64	0.76	0
B.3.N.60-DT-bin.20	B	3	N	60	DT	f__Bacillaceae (UID829)	98.66	2.4	0
B.3.N.60-DT-bin.21	B	3	N	60	DT	o__Campylobacterales (UID3068)	94.93	0.47	50
B.3.N.60-DT-bin.22	B	3	N	60	DT	k__Archaea (UID2)	69.4	15.46	0
B.3.N.60-DT-bin.3	B	3	N	60	DT	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.N.60-DT-bin.4	B	3	N	60	DT	f__Halobacteriaceae (UID85)	99.93	0	0
B.3.N.60-DT-bin.5	B	3	N	60	DT	f__Rhodobacteraceae (UID3356)	97.43	0.14	0
B.3.N.60-DT-bin.6	B	3	N	60	DT	f__Bifidobacteriaceae (UID1458)	99.24	0	0
B.3.N.60-DT-bin.7	B	3	N	60	DT	f__Rhodobacteraceae (UID3340)	99.55	0.08	0
B.3.N.60-DT-bin.8	B	3	N	60	DT	f__Micrococcaceae (UID1623)	98.32	1.15	33.33
B.3.N.60-DT-bin.9	B	3	N	60	DT	o__Sphingomonadales (UID3310)	98.03	0.02	0
B.3.N.60-MM-bin.1	B	3	N	60	MM	f__Rhodobacteraceae (UID3356)	99.39	0.61	0
B.3.N.60-MM-bin.10	B	3	N	60	MM	f__Bifidobacteriaceae (UID1458)	99.55	0.98	0
B.3.N.60-MM-bin.11	B	3	N	60	MM	c__Betaproteobacteria (UID3959)	98.36	0.16	0
B.3.N.60-MM-bin.12	B	3	N	60	MM	o__Sphingomonadales (UID3310)	99.25	0.34	0
B.3.N.60-MM-bin.13	B	3	N	60	MM	f__Rhodobacteraceae (UID3356)	98.65	0.52	33.33
B.3.N.60-MM-bin.14	B	3	N	60	MM	o__Campylobacterales (UID3068)	84.86	2.24	0
B.3.N.60-MM-bin.15	B	3	N	60	MM	f__Rhodobacteraceae (UID3356)	93.29	0.96	0
B.3.N.60-MM-bin.16	B	3	N	60	MM	f__Bifidobacteriaceae (UID1458)	99.24	0	0
B.3.N.60-MM-bin.2	B	3	N	60	MM	f__Rhodobacteraceae (UID3340)	98.94	0.08	0
B.3.N.60-MM-bin.3	B	3	N	60	MM	o__Burkholderiales (UID4000)	96.82	0.1	100
B.3.N.60-MM-bin.4	B	3	N	60	MM	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.N.60-MM-bin.5	B	3	N	60	MM	o__Campylobacterales (UID3068)	82.87	0	0
B.3.N.60-MM-bin.6	B	3	N	60	MM	f__Micrococcaceae (UID1623)	98.32	0.89	25
B.3.N.60-MM-bin.7	B	3	N	60	MM	o__Sphingomonadales (UID3310)	98.05	0.09	0
B.3.N.60-MM-bin.8	B	3	N	60	MM	o__Rhizobiales (UID3481)	97.2	0.48	25
B.3.N.60-MM-bin.9	B	3	N	60	MM	f__Bacillaceae (UID829)	91.39	2.13	0
B.3.R.10-8K-bin.1	B	3	R	10	8K	o__Flavobacteriales (UID2815)	96.08	0	0
B.3.R.10-8K-bin.10	B	3	R	10	8K	o__Flavobacteriales (UID2815)	98.53	0	0
B.3.R.10-8K-bin.11	B	3	R	10	8K	f__Bifidobacteriaceae (UID1458)	78.6	0	0
B.3.R.10-8K-bin.12	B	3	R	10	8K	c__Thermoprotei (UID148)	94.94	0	0
B.3.R.10-8K-bin.13	B	3	R	10	8K	c__Thermoprotei (UID148)	94.94	0	0
B.3.R.10-8K-bin.14	B	3	R	10	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.R.10-8K-bin.15	B	3	R	10	8K	f__Bifidobacteriaceae (UID1458)	80.64	0	0
B.3.R.10-8K-bin.16	B	3	R	10	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.R.10-8K-bin.17	B	3	R	10	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.R.10-8K-bin.18	B	3	R	10	8K	c__Thermoprotei (UID148)	77.88	0.7	0
B.3.R.10-8K-bin.19	B	3	R	10	8K	f__Bifidobacteriaceae (UID1458)	78.6	0	0
B.3.R.10-8K-bin.2	B	3	R	10	8K	c__Thermoprotei (UID148)	77.88	0.7	0
B.3.R.10-8K-bin.20	B	3	R	10	8K	o__Actinomycetales (UID1590)	90.88	0.29	100
B.3.R.10-8K-bin.21	B	3	R	10	8K	o__Actinomycetales (UID1812)	93.5	0.39	20
B.3.R.10-8K-bin.22	B	3	R	10	8K	o__Actinomycetales (UID1812)	98.9	1.14	25
B.3.R.10-8K-bin.23	B	3	R	10	8K	f__Rhodobacteraceae (UID3356)	99.39	0.71	33.33
B.3.R.10-8K-bin.24	B	3	R	10	8K	o__Actinomycetales (UID1590)	90.88	0.29	100
B.3.R.10-8K-bin.25	B	3	R	10	8K	f__Rhodobacteraceae (UID3356)	99.39	0.71	33.33
B.3.R.10-8K-bin.26	B	3	R	10	8K	f__Vibrionaceae (UID4868)	92.61	0.59	0
B.3.R.10-8K-bin.27	B	3	R	10	8K	o__Campylobacterales (UID3068)	96.87	0.12	0
B.3.R.10-8K-bin.28	B	3	R	10	8K	o__Sphingomonadales (UID3310)	96.38	0.02	0
B.3.R.10-8K-bin.29	B	3	R	10	8K	o__Flavobacteriales (UID2815)	96.08	0	0
B.3.R.10-8K-bin.3	B	3	R	10	8K	o__Actinomycetales (UID1812)	98.9	1.14	25
B.3.R.10-8K-bin.30	B	3	R	10	8K	c__Thermoprotei (UID148)	77.88	0.7	0
B.3.R.10-8K-bin.31	B	3	R	10	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.R.10-8K-bin.32	B	3	R	10	8K	c__Thermoprotei (UID148)	77.88	0.7	0
B.3.R.10-8K-bin.33	B	3	R	10	8K	f__Vibrionaceae (UID4868)	99.93	0.64	0
B.3.R.10-8K-bin.34	B	3	R	10	8K	f__Rhodobacteraceae (UID3356)	99.39	0.71	33.33
B.3.R.10-8K-bin.35	B	3	R	10	8K	o__Actinomycetales (UID1590)	90.88	0.29	100
B.3.R.10-8K-bin.36	B	3	R	10	8K	f__Vibrionaceae (UID4868)	92.61	0.59	0
B.3.R.10-8K-bin.37	B	3	R	10	8K	o__Flavobacteriales (UID2815)	96.08	0	0
B.3.R.10-8K-bin.38	B	3	R	10	8K	f__Rhodobacteraceae (UID3356)	99.39	0.71	33.33
B.3.R.10-8K-bin.39	B	3	R	10	8K	f__Bifidobacteriaceae (UID1458)	78.6	0	0
B.3.R.10-8K-bin.4	B	3	R	10	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.R.10-8K-bin.40	B	3	R	10	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.R.10-8K-bin.41	B	3	R	10	8K	o__Actinomycetales (UID1812)	98.9	1.14	25
B.3.R.10-8K-bin.42	B	3	R	10	8K	o__Campylobacterales (UID3068)	96.87	0.12	0
B.3.R.10-8K-bin.43	B	3	R	10	8K	o__Actinomycetales (UID1590)	90.88	0.29	100
B.3.R.10-8K-bin.44	B	3	R	10	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.R.10-8K-bin.45	B	3	R	10	8K	f__Vibrionaceae (UID4868)	92.61	0.59	0
B.3.R.10-8K-bin.46	B	3	R	10	8K	o__Campylobacterales (UID3068)	96.87	0.12	0
B.3.R.10-8K-bin.5	B	3	R	10	8K	o__Actinomycetales (UID1812)	98.9	1.14	25
B.3.R.10-8K-bin.6	B	3	R	10	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.R.10-8K-bin.7	B	3	R	10	8K	c__Thermoprotei (UID148)	94.94	0	0
B.3.R.10-8K-bin.8	B	3	R	10	8K	c__Thermoprotei (UID148)	94.94	0	0
B.3.R.10-8K-bin.9	B	3	R	10	8K	o__Campylobacterales (UID3068)	96.87	0.12	0
B.3.R.10-DT-bin.1	B	3	R	10	DT	o__Sphingomonadales (UID3310)	99.02	1.91	32.43
B.3.R.10-DT-bin.10	B	3	R	10	DT	f__Rhodobacteraceae (UID3356)	99.39	0.91	20
B.3.R.10-DT-bin.11	B	3	R	10	DT	o__Sphingomonadales (UID3310)	99.25	0.91	16.67
B.3.R.10-DT-bin.12	B	3	R	10	DT	o__Actinomycetales (UID1812)	99.67	6.09	3.45
B.3.R.10-DT-bin.13	B	3	R	10	DT	k__Archaea (UID2)	70.02	20.87	1.16
B.3.R.10-DT-bin.14	B	3	R	10	DT	o__Actinomycetales (UID1812)	98.9	1.14	25
B.3.R.10-DT-bin.15	B	3	R	10	DT	k__Bacteria (UID203)	100	5.86	60
B.3.R.10-DT-bin.16	B	3	R	10	DT	f__Halobacteriaceae (UID85)	97.13	1.2	0
B.3.R.10-DT-bin.17	B	3	R	10	DT	f__Rhodobacteraceae (UID3356)	80.2	1.65	7.69
B.3.R.10-DT-bin.18	B	3	R	10	DT	f__Rhodobacteraceae (UID3340)	95.84	0.11	0
B.3.R.10-DT-bin.19	B	3	R	10	DT	c__Thermoprotei (UID148)	100	0	0
B.3.R.10-DT-bin.2	B	3	R	10	DT	f__Micrococcaceae (UID1623)	94.46	1.74	14.29
B.3.R.10-DT-bin.20	B	3	R	10	DT	g__Bacillus (UID864)	99.22	10.09	4.11
B.3.R.10-DT-bin.21	B	3	R	10	DT	f__Halobacteriaceae (UID85)	99.53	0	0
B.3.R.10-DT-bin.22	B	3	R	10	DT	f__Halobacteriaceae (UID85)	93.95	3.27	18.18
B.3.R.10-DT-bin.23	B	3	R	10	DT	k__Bacteria (UID203)	58.15	23.45	2.86
B.3.R.10-DT-bin.24	B	3	R	10	DT	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.R.10-DT-bin.25	B	3	R	10	DT	f__Bifidobacteriaceae (UID1458)	93.93	3.33	7.69
B.3.R.10-DT-bin.26	B	3	R	10	DT	k__Bacteria (UID203)	95.78	7.68	65
B.3.R.10-DT-bin.27	B	3	R	10	DT	c__Thermoprotei (UID148)	100	0.63	0
B.3.R.10-DT-bin.3	B	3	R	10	DT	f__Bifidobacteriaceae (UID1458)	95.97	0.45	0
B.3.R.10-DT-bin.4	B	3	R	10	DT	o__Actinomycetales (UID1590)	90.88	0.29	100
B.3.R.10-DT-bin.5	B	3	R	10	DT	o__Flavobacteriales (UID2815)	100	0.74	50
B.3.R.10-DT-bin.6	B	3	R	10	DT	o__Campylobacterales (UID3068)	96.87	0.82	0
B.3.R.10-DT-bin.7	B	3	R	10	DT	o__Sphingomonadales (UID3310)	99.48	2.35	12.12
B.3.R.10-DT-bin.8	B	3	R	10	DT	f__Vibrionaceae (UID4868)	92.61	0.59	0
B.3.R.10-DT-bin.9	B	3	R	10	DT	c__Thermoprotei (UID148)	89.86	2.6	0
B.3.R.10-MM-bin.1	B	3	R	10	MM	o__Burkholderiales (UID4000)	92.93	4.51	36.84
B.3.R.10-MM-bin.10	B	3	R	10	MM	f__Micrococcaceae (UID1623)	83.54	6.8	20.59
B.3.R.10-MM-bin.11	B	3	R	10	MM	c__Betaproteobacteria (UID3959)	97.53	2.71	8.33
B.3.R.10-MM-bin.12	B	3	R	10	MM	o__Sphingomonadales (UID3310)	95.7	5.51	32
B.3.R.10-MM-bin.13	B	3	R	10	MM	f__Rhodobacteraceae (UID3340)	83.24	6.76	17.14
B.3.R.10-MM-bin.14	B	3	R	10	MM	f__Vibrionaceae (UID4868)	98.32	3.26	21.21
B.3.R.10-MM-bin.2	B	3	R	10	MM	f__Bifidobacteriaceae (UID1462)	99.26	4.32	27.78
B.3.R.10-MM-bin.3	B	3	R	10	MM	o__Flavobacteriales (UID2815)	94.54	4.13	15.38
B.3.R.10-MM-bin.4	B	3	R	10	MM	o__Campylobacterales (UID3068)	89.76	9.37	8.89
B.3.R.10-MM-bin.5	B	3	R	10	MM	o__Sphingomonadales (UID3310)	89.1	0.74	0
B.3.R.10-MM-bin.6	B	3	R	10	MM	o__Actinomycetales (UID1590)	57.97	3.55	0
B.3.R.10-MM-bin.7	B	3	R	10	MM	o__Sphingomonadales (UID3310)	98.38	2.26	21.43
B.3.R.10-MM-bin.8	B	3	R	10	MM	o__Actinomycetales (UID1812)	90.44	5.21	23.33
B.3.R.10-MM-bin.9	B	3	R	10	MM	f__Rhodobacteraceae (UID3356)	98.17	1.11	0
B.3.R.120-8K-bin.1	B	3	R	120	8K	o__Actinomycetales (UID1812)	99.67	0.79	0
B.3.R.120-8K-bin.10	B	3	R	120	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.R.120-8K-bin.11	B	3	R	120	8K	f__Micrococcaceae (UID1623)	98.32	1.65	66.67
B.3.R.120-8K-bin.12	B	3	R	120	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.3.R.120-8K-bin.13	B	3	R	120	8K	o__Actinomycetales (UID1812)	99.67	0.79	0
B.3.R.120-8K-bin.14	B	3	R	120	8K	o__Sphingomonadales (UID3310)	98.09	0.02	0
B.3.R.120-8K-bin.15	B	3	R	120	8K	f__Rhodobacteraceae (UID3356)	96.11	0.04	0
B.3.R.120-8K-bin.16	B	3	R	120	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.R.120-8K-bin.17	B	3	R	120	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.R.120-8K-bin.18	B	3	R	120	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.R.120-8K-bin.19	B	3	R	120	8K	f__Rhodobacteraceae (UID3340)	96.06	0.91	0
B.3.R.120-8K-bin.2	B	3	R	120	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.R.120-8K-bin.20	B	3	R	120	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.R.120-8K-bin.21	B	3	R	120	8K	f__Halobacteriaceae (UID85)	71.93	0	0
B.3.R.120-8K-bin.22	B	3	R	120	8K	f__Bifidobacteriaceae (UID1458)	88.94	0	0
B.3.R.120-8K-bin.23	B	3	R	120	8K	o__Flavobacteriales (UID2815)	100	0.02	100
B.3.R.120-8K-bin.24	B	3	R	120	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
