Bin.Id	Community	Abundance_distribution	Taxonomic_distribution	Depth	Pipeline	Marker lineage	Completeness	Contamination	Strain heterogeneity
B.2.R.60-8K-bin.21	B	2	R	60	8K	f__Bifidobacteriaceae (UID1458)	88.94	0	0
B.2.R.60-8K-bin.22	B	2	R	60	8K	f__Rhodobacteraceae (UID3356)	96.11	0.04	0
B.2.R.60-8K-bin.23	B	2	R	60	8K	g__Bacillus (UID864)	97.51	0.02	0
B.2.R.60-8K-bin.24	B	2	R	60	8K	f__Halobacteriaceae (UID85)	75.27	0	0
B.2.R.60-8K-bin.25	B	2	R	60	8K	f__Micrococcaceae (UID1631)	99.64	0	0
B.2.R.60-8K-bin.26	B	2	R	60	8K	f__Rhodobacteraceae (UID3356)	96.11	0.04	0
B.2.R.60-8K-bin.27	B	2	R	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.2.R.60-8K-bin.28	B	2	R	60	8K	f__Micrococcaceae (UID1631)	99.64	0	0
B.2.R.60-8K-bin.29	B	2	R	60	8K	f__Rhodobacteraceae (UID3356)	96.11	0.04	0
B.2.R.60-8K-bin.3	B	2	R	60	8K	o__Flavobacteriales (UID2815)	78.29	0.49	0
B.2.R.60-8K-bin.30	B	2	R	60	8K	f__Vibrionaceae (UID4868)	98.02	0.62	0
B.2.R.60-8K-bin.31	B	2	R	60	8K	o__Actinomycetales (UID1812)	99.67	0.79	0
B.2.R.60-8K-bin.32	B	2	R	60	8K	o__Rhizobiales (UID3481)	98.24	0.44	0
B.2.R.60-8K-bin.33	B	2	R	60	8K	o__Flavobacteriales (UID2815)	78.29	0.49	0
B.2.R.60-8K-bin.34	B	2	R	60	8K	f__Bifidobacteriaceae (UID1462)	100	0	0
B.2.R.60-8K-bin.35	B	2	R	60	8K	f__Bifidobacteriaceae (UID1458)	88.94	0	0
B.2.R.60-8K-bin.36	B	2	R	60	8K	o__Burkholderiales (UID4000)	98.28	0	0
B.2.R.60-8K-bin.37	B	2	R	60	8K	f__Vibrionaceae (UID4868)	99.38	0.64	0
B.2.R.60-8K-bin.38	B	2	R	60	8K	o__Flavobacteriales (UID2815)	78.29	0.49	0
B.2.R.60-8K-bin.39	B	2	R	60	8K	o__Burkholderiales (UID4000)	98.28	0	0
B.2.R.60-8K-bin.4	B	2	R	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.2.R.60-8K-bin.40	B	2	R	60	8K	f__Halobacteriaceae (UID85)	98.25	0.87	0
B.2.R.60-8K-bin.41	B	2	R	60	8K	o__Actinomycetales (UID1590)	93.63	0	0
B.2.R.60-8K-bin.42	B	2	R	60	8K	o__Actinomycetales (UID1590)	93.63	0	0
B.2.R.60-8K-bin.43	B	2	R	60	8K	f__Halobacteriaceae (UID85)	75.27	0	0
B.2.R.60-8K-bin.44	B	2	R	60	8K	f__Halobacteriaceae (UID85)	99.53	0	0
B.2.R.60-8K-bin.45	B	2	R	60	8K	f__Bifidobacteriaceae (UID1462)	100	0	0
B.2.R.60-8K-bin.46	B	2	R	60	8K	f__Bifidobacteriaceae (UID1458)	88.94	0	0
B.2.R.60-8K-bin.47	B	2	R	60	8K	f__Bifidobacteriaceae (UID1462)	100	0	0
B.2.R.60-8K-bin.48	B	2	R	60	8K	f__Micrococcaceae (UID1631)	99.64	0	0
B.2.R.60-8K-bin.5	B	2	R	60	8K	o__Burkholderiales (UID4000)	98.28	0	0
B.2.R.60-8K-bin.6	B	2	R	60	8K	f__Micrococcaceae (UID1631)	99.64	0	0
B.2.R.60-8K-bin.7	B	2	R	60	8K	f__Vibrionaceae (UID4868)	99.66	0.64	0
B.2.R.60-8K-bin.8	B	2	R	60	8K	f__Micrococcaceae (UID1623)	98.12	1.15	33.33
B.2.R.60-8K-bin.9	B	2	R	60	8K	f__Vibrionaceae (UID4868)	98.02	0.62	0
B.2.R.60-DT-bin.1	B	2	R	60	DT	f__Rhodobacteraceae (UID3340)	98.94	0.08	0
B.2.R.60-DT-bin.10	B	2	R	60	DT	f__Vibrionaceae (UID4868)	99.66	0.64	0
B.2.R.60-DT-bin.11	B	2	R	60	DT	f__Halobacteriaceae (UID85)	99.53	0	0
B.2.R.60-DT-bin.12	B	2	R	60	DT	o__Flavobacteriales (UID2815)	99.68	0.38	66.67
B.2.R.60-DT-bin.13	B	2	R	60	DT	f__Bifidobacteriaceae (UID1462)	100	0	0
B.2.R.60-DT-bin.14	B	2	R	60	DT	o__Burkholderiales (UID4000)	100	1.06	25
B.2.R.60-DT-bin.15	B	2	R	60	DT	f__Rhodobacteraceae (UID3356)	95.61	1.22	0
B.2.R.60-DT-bin.16	B	2	R	60	DT	c__Thermoprotei (UID148)	50.46	2.37	0
B.2.R.60-DT-bin.17	B	2	R	60	DT	f__Bifidobacteriaceae (UID1458)	99.24	0	0
B.2.R.60-DT-bin.18	B	2	R	60	DT	f__Enterobacteriaceae (UID5103)	99.96	0.88	36.36
B.2.R.60-DT-bin.19	B	2	R	60	DT	o__Rhizobiales (UID3481)	99.44	0.52	0
B.2.R.60-DT-bin.2	B	2	R	60	DT	o__Actinomycetales (UID1812)	99.67	1.23	0
B.2.R.60-DT-bin.20	B	2	R	60	DT	f__Rhodobacteraceae (UID3356)	97.51	2.8	0
B.2.R.60-DT-bin.21	B	2	R	60	DT	o__Sphingomonadales (UID3310)	99.25	1.09	0
B.2.R.60-DT-bin.22	B	2	R	60	DT	o__Actinomycetales (UID1590)	94.22	0	0
B.2.R.60-DT-bin.23	B	2	R	60	DT	f__Micrococcaceae (UID1623)	98.12	1.15	33.33
B.2.R.60-DT-bin.24	B	2	R	60	DT	g__Bacillus (UID864)	99.59	0.5	0
B.2.R.60-DT-bin.25	B	2	R	60	DT	o__Sphingomonadales (UID3310)	98.75	1.58	7.14
B.2.R.60-DT-bin.3	B	2	R	60	DT	o__Sphingomonadales (UID3310)	97.43	0.8	0
B.2.R.60-DT-bin.4	B	2	R	60	DT	o__Flavobacteriales (UID2815)	92.87	1.39	20
B.2.R.60-DT-bin.5	B	2	R	60	DT	c__Thermoprotei (UID148)	99.37	0	0
B.2.R.60-DT-bin.6	B	2	R	60	DT	f__Micrococcaceae (UID1631)	99.64	0	0
B.2.R.60-DT-bin.7	B	2	R	60	DT	f__Halobacteriaceae (UID85)	98.25	0.87	0
B.2.R.60-DT-bin.8	B	2	R	60	DT	f__Bacillaceae (UID829)	98.66	2.4	0
B.2.R.60-DT-bin.9	B	2	R	60	DT	k__Archaea (UID2)	68.46	16.39	3.51
B.2.R.60-MM-bin.1	B	2	R	60	MM	o__Sphingomonadales (UID3310)	98.74	1.28	22.22
B.2.R.60-MM-bin.10	B	2	R	60	MM	f__Rhodobacteraceae (UID3340)	98.94	0.08	0
B.2.R.60-MM-bin.11	B	2	R	60	MM	k__Bacteria (UID203)	47.76	4.31	33.33
B.2.R.60-MM-bin.12	B	2	R	60	MM	o__Actinomycetales (UID1812)	99.67	0.79	0
B.2.R.60-MM-bin.13	B	2	R	60	MM	o__Burkholderiales (UID4000)	100	0	0
B.2.R.60-MM-bin.14	B	2	R	60	MM	f__Micrococcaceae (UID1631)	99.12	0	0
B.2.R.60-MM-bin.15	B	2	R	60	MM	o__Rhizobiales (UID3481)	99.44	0.62	0
B.2.R.60-MM-bin.16	B	2	R	60	MM	o__Sphingomonadales (UID3310)	97.32	0.34	0
B.2.R.60-MM-bin.17	B	2	R	60	MM	o__Flavobacteriales (UID2815)	99.51	0.25	0
B.2.R.60-MM-bin.18	B	2	R	60	MM	f__Bacillaceae (UID829)	96.31	2.14	14.29
B.2.R.60-MM-bin.2	B	2	R	60	MM	f__Vibrionaceae (UID4868)	99.93	0.91	0
B.2.R.60-MM-bin.3	B	2	R	60	MM	f__Enterobacteriaceae (UID5103)	99.3	0.49	0
B.2.R.60-MM-bin.4	B	2	R	60	MM	f__Rhodobacteraceae (UID3356)	98.65	0.35	0
B.2.R.60-MM-bin.5	B	2	R	60	MM	f__Micrococcaceae (UID1623)	90.86	6.68	13.79
B.2.R.60-MM-bin.6	B	2	R	60	MM	o__Actinomycetales (UID1590)	83.43	9.43	25
B.2.R.60-MM-bin.7	B	2	R	60	MM	f__Bifidobacteriaceae (UID1458)	99.24	0	0
B.2.R.60-MM-bin.8	B	2	R	60	MM	g__Bacillus (UID864)	99.17	4.36	29.41
B.2.R.60-MM-bin.9	B	2	R	60	MM	o__Sphingomonadales (UID3310)	99.16	0.68	50
B.2.V.60-8K-bin.1	B	2	V	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.2.V.60-8K-bin.10	B	2	V	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.2.V.60-8K-bin.11	B	2	V	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.2.V.60-8K-bin.12	B	2	V	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.2.V.60-8K-bin.13	B	2	V	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.2.V.60-8K-bin.14	B	2	V	60	8K	o__Flavobacteriales (UID2815)	97.55	0	0
B.2.V.60-8K-bin.15	B	2	V	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.2.V.60-8K-bin.16	B	2	V	60	8K	f__Rhodobacteraceae (UID3340)	87.12	0	0
B.2.V.60-8K-bin.17	B	2	V	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.2.V.60-8K-bin.18	B	2	V	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.2.V.60-8K-bin.19	B	2	V	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.2.V.60-8K-bin.2	B	2	V	60	8K	f__Rhodobacteraceae (UID3340)	87.12	0	0
B.2.V.60-8K-bin.20	B	2	V	60	8K	f__Micrococcaceae (UID1623)	98.32	1.65	50
B.2.V.60-8K-bin.21	B	2	V	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.2.V.60-8K-bin.22	B	2	V	60	8K	o__Actinomycetales (UID1812)	99.23	0.79	0
B.2.V.60-8K-bin.23	B	2	V	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.2.V.60-8K-bin.24	B	2	V	60	8K	o__Actinomycetales (UID1812)	99.23	0.79	0
B.2.V.60-8K-bin.25	B	2	V	60	8K	f__Micrococcaceae (UID1623)	98.32	1.65	50
B.2.V.60-8K-bin.26	B	2	V	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.2.V.60-8K-bin.27	B	2	V	60	8K	f__Rhodobacteraceae (UID3356)	96.11	0.04	0
B.2.V.60-8K-bin.28	B	2	V	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.2.V.60-8K-bin.29	B	2	V	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.2.V.60-8K-bin.3	B	2	V	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.2.V.60-8K-bin.30	B	2	V	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.2.V.60-8K-bin.31	B	2	V	60	8K	f__Rhodobacteraceae (UID3340)	87.12	0	0
B.2.V.60-8K-bin.32	B	2	V	60	8K	o__Actinomycetales (UID1812)	99.23	0.79	0
B.2.V.60-8K-bin.33	B	2	V	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.2.V.60-8K-bin.34	B	2	V	60	8K	f__Vibrionaceae (UID4868)	84.58	0.35	0
B.2.V.60-8K-bin.35	B	2	V	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.2.V.60-8K-bin.36	B	2	V	60	8K	f__Vibrionaceae (UID4868)	84.58	0.35	0
B.2.V.60-8K-bin.37	B	2	V	60	8K	o__Actinomycetales (UID1812)	99.23	0.79	0
B.2.V.60-8K-bin.38	B	2	V	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.2.V.60-8K-bin.39	B	2	V	60	8K	o__Flavobacteriales (UID2815)	97.55	0	0
B.2.V.60-8K-bin.4	B	2	V	60	8K	o__Flavobacteriales (UID2815)	97.55	0	0
B.2.V.60-8K-bin.40	B	2	V	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.2.V.60-8K-bin.41	B	2	V	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.2.V.60-8K-bin.42	B	2	V	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.2.V.60-8K-bin.43	B	2	V	60	8K	o__Flavobacteriales (UID2815)	99.02	0	0
B.2.V.60-8K-bin.5	B	2	V	60	8K	f__Micrococcaceae (UID1623)	98.32	1.65	50
B.2.V.60-8K-bin.6	B	2	V	60	8K	f__Rhodobacteraceae (UID3340)	87.12	0	0
B.2.V.60-8K-bin.7	B	2	V	60	8K	f__Vibrionaceae (UID4868)	84.58	0.35	0
B.2.V.60-8K-bin.8	B	2	V	60	8K	f__Micrococcaceae (UID1623)	98.32	1.65	50
B.2.V.60-8K-bin.9	B	2	V	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.2.V.60-DT-bin.1	B	2	V	60	DT	c__Thermoprotei (UID148)	99.37	0.63	0
B.2.V.60-DT-bin.10	B	2	V	60	DT	o__Flavobacteriales (UID2815)	100	0.49	0
B.2.V.60-DT-bin.11	B	2	V	60	DT	o__Flavobacteriales (UID2815)	80.82	11.44	81.08
B.2.V.60-DT-bin.12	B	2	V	60	DT	f__Rhodobacteraceae (UID3340)	99.55	0.18	0
B.2.V.60-DT-bin.13	B	2	V	60	DT	o__Campylobacterales (UID3068)	96.04	4.71	0
B.2.V.60-DT-bin.14	B	2	V	60	DT	k__Bacteria (UID203)	80.58	14.79	86.36
B.2.V.60-DT-bin.15	B	2	V	60	DT	o__Actinomycetales (UID1590)	95	0.59	0
B.2.V.60-DT-bin.16	B	2	V	60	DT	k__Bacteria (UID203)	79.31	10.82	73.91
B.2.V.60-DT-bin.17	B	2	V	60	DT	f__Rhodobacteraceae (UID3356)	98.65	0.35	0
B.2.V.60-DT-bin.18	B	2	V	60	DT	k__Bacteria (UID203)	60.03	28.31	2.5
B.2.V.60-DT-bin.19	B	2	V	60	DT	o__Rhizobiales (UID3481)	99.44	0.44	0
B.2.V.60-DT-bin.2	B	2	V	60	DT	f__Vibrionaceae (UID4868)	99.93	1.22	0
B.2.V.60-DT-bin.20	B	2	V	60	DT	o__Campylobacterales (UID3068)	74.08	2.61	14.29
B.2.V.60-DT-bin.21	B	2	V	60	DT	c__Thermoprotei (UID148)	98.73	0	0
B.2.V.60-DT-bin.3	B	2	V	60	DT	c__Thermoprotei (UID148)	100	0.63	0
B.2.V.60-DT-bin.4	B	2	V	60	DT	o__Actinomycetales (UID1812)	99.23	0.79	0
B.2.V.60-DT-bin.5	B	2	V	60	DT	o__Actinomycetales (UID1812)	98.9	0.55	0
B.2.V.60-DT-bin.6	B	2	V	60	DT	f__Micrococcaceae (UID1623)	98.32	2.2	36.36
B.2.V.60-DT-bin.7	B	2	V	60	DT	o__Campylobacterales (UID3068)	88.49	2.98	7.14
B.2.V.60-DT-bin.8	B	2	V	60	DT	f__Enterobacteriaceae (UID5103)	62.81	8.23	70.11
B.2.V.60-DT-bin.9	B	2	V	60	DT	k__Archaea (UID2)	68.15	15.46	3.57
B.2.V.60-MM-bin.1	B	2	V	60	MM	o__Flavobacteriales (UID2815)	100	0	0
B.2.V.60-MM-bin.10	B	2	V	60	MM	o__Actinomycetales (UID1812)	98.9	0.55	0
B.2.V.60-MM-bin.11	B	2	V	60	MM	f__Rhodobacteraceae (UID3356)	98.65	0.35	0
B.2.V.60-MM-bin.12	B	2	V	60	MM	o__Burkholderiales (UID4000)	96.32	2.34	28.57
B.2.V.60-MM-bin.13	B	2	V	60	MM	f__Rhodobacteraceae (UID3356)	99.39	0.61	0
B.2.V.60-MM-bin.14	B	2	V	60	MM	o__Campylobacterales (UID3068)	75.19	7.82	7.14
B.2.V.60-MM-bin.15	B	2	V	60	MM	o__Actinomycetales (UID1812)	99.67	0.79	0
B.2.V.60-MM-bin.2	B	2	V	60	MM	f__Vibrionaceae (UID4868)	99.93	0.91	0
