A.1.O.60-8K-bin.10	A.1.O.60	609575
A.1.O.60-8K-bin.11	A.1.O.60	609575
A.1.O.60-8K-bin.12	A.1.O.60	1322871
A.1.O.60-8K-bin.13	A.1.O.60	795132
A.1.O.60-8K-bin.14	A.1.O.60	609575
A.1.O.60-8K-bin.15	A.1.O.60	1077072
A.1.O.60-8K-bin.16	A.1.O.60	793467
A.1.O.60-8K-bin.17	A.1.O.60	994240
A.1.O.60-8K-bin.18	A.1.O.60	505745
A.1.O.60-8K-bin.19	A.1.O.60	695652
A.1.O.60-8K-bin.1	A.1.O.60	994240
A.1.O.60-8K-bin.20	A.1.O.60	520686
A.1.O.60-8K-bin.21	A.1.O.60	569691
A.1.O.60-8K-bin.22	A.1.O.60	795132
A.1.O.60-8K-bin.23	A.1.O.60	1048069
A.1.O.60-8K-bin.24	A.1.O.60	1074304
A.1.O.60-8K-bin.25	A.1.O.60	1131495
A.1.O.60-8K-bin.26	A.1.O.60	1633520
A.1.O.60-8K-bin.27	A.1.O.60	1081022
A.1.O.60-8K-bin.28	A.1.O.60	520686
A.1.O.60-8K-bin.29	A.1.O.60	505745
A.1.O.60-8K-bin.2	A.1.O.60	550849
A.1.O.60-8K-bin.30	A.1.O.60	1280866
A.1.O.60-8K-bin.31	A.1.O.60	1048069
A.1.O.60-8K-bin.32	A.1.O.60	1563652
A.1.O.60-8K-bin.33	A.1.O.60	520686
A.1.O.60-8K-bin.34	A.1.O.60	1069678
A.1.O.60-8K-bin.35	A.1.O.60	1067778
A.1.O.60-8K-bin.36	A.1.O.60	1322871
A.1.O.60-8K-bin.37	A.1.O.60	1101560
A.1.O.60-8K-bin.38	A.1.O.60	528860
A.1.O.60-8K-bin.39	A.1.O.60	1322871
A.1.O.60-8K-bin.3	A.1.O.60	1077072
A.1.O.60-8K-bin.40	A.1.O.60	994240
A.1.O.60-8K-bin.41	A.1.O.60	569691
A.1.O.60-8K-bin.42	A.1.O.60	695652
A.1.O.60-8K-bin.43	A.1.O.60	609575
A.1.O.60-8K-bin.44	A.1.O.60	1600722
A.1.O.60-8K-bin.45	A.1.O.60	1322871
A.1.O.60-8K-bin.46	A.1.O.60	1048069
A.1.O.60-8K-bin.47	A.1.O.60	1708397
A.1.O.60-8K-bin.48	A.1.O.60	994240
A.1.O.60-8K-bin.49	A.1.O.60	505745
A.1.O.60-8K-bin.4	A.1.O.60	1653301
A.1.O.60-8K-bin.50	A.1.O.60	1330252
A.1.O.60-8K-bin.51	A.1.O.60	1131495
A.1.O.60-8K-bin.52	A.1.O.60	795132
A.1.O.60-8K-bin.53	A.1.O.60	1077072
A.1.O.60-8K-bin.54	A.1.O.60	1305803
A.1.O.60-8K-bin.55	A.1.O.60	1240390
A.1.O.60-8K-bin.56	A.1.O.60	1048069
A.1.O.60-8K-bin.57	A.1.O.60	695652
A.1.O.60-8K-bin.58	A.1.O.60	1131495
A.1.O.60-8K-bin.59	A.1.O.60	569691
A.1.O.60-8K-bin.5	A.1.O.60	520686
A.1.O.60-8K-bin.60	A.1.O.60	1147744
A.1.O.60-8K-bin.6	A.1.O.60	696596
A.1.O.60-8K-bin.7	A.1.O.60	1563652
A.1.O.60-8K-bin.8	A.1.O.60	1563652
A.1.O.60-8K-bin.9	A.1.O.60	1394899
A.1.O.60-DT-bin.10	A.1.O.60	1453763
A.1.O.60-DT-bin.11	A.1.O.60	699798
A.1.O.60-DT-bin.12	A.1.O.60	1758617
A.1.O.60-DT-bin.13	A.1.O.60	1351995
A.1.O.60-DT-bin.14	A.1.O.60	1037298
A.1.O.60-DT-bin.15	A.1.O.60	537302
A.1.O.60-DT-bin.16	A.1.O.60	1435814
