Community,Sequencing Depth,Taxonomy distribution,Evenness distribution,Pipeline,Number of MAGs,Original taxonomies found,Number of False Positive Taxonomies,Number of FalseNegative Taxonomies
C,10,R,3,MM,8,7,1,35
C,30,R,2,8K,50,12,4,30
C,30,R,2,DT,21,18,3,24
C,30,R,2,MM,14,12,2,30
C,30,R,3,8K,33,8,4,34
C,30,R,3,DT,25,23,2,19
C,30,R,3,MM,20,16,4,26
C,60,O,1,8K,40,9,4,33
C,60,O,1,DT,17,16,1,26
C,60,O,1,MM,1,1,0,41
C,60,C,2,8K,17,5,0,37
C,60,C,2,DT,20,18,2,24
C,60,C,2,MM,16,14,2,28
C,60,N,2,8K,36,8,4,34
C,60,N,2,DT,20,17,3,25
C,60,N,2,MM,20,17,3,25
C,60,R,2,8K,30,8,0,34
C,60,R,2,DT,25,22,3,20
C,60,R,2,MM,12,10,2,32
C,60,V,2,8K,13,4,0,38
C,60,V,2,DT,18,16,2,26
C,60,V,2,MM,14,12,2,30
C,60,C,3,8K,44,10,4,32
C,60,C,3,DT,22,21,1,21
C,60,C,3,MM,23,20,3,22
C,60,N,3,8K,58,16,4,26
C,60,N,3,DT,19,18,1,24
C,60,N,3,MM,19,17,1,25
C,60,R,3,8K,49,12,4,30
C,60,R,3,DT,32,29,3,13
C,60,R,3,MM,19,17,2,25
C,60,V,3,8K,42,11,4,31
C,60,V,3,DT,17,16,1,26
C,60,V,3,MM,25,22,3,20
C,60,C,4,8K,15,6,0,36
C,60,C,4,DT,17,15,2,27
C,60,C,4,MM,15,13,2,29
C,60,N,4,8K,39,10,3,32
C,60,N,4,DT,20,18,2,24
C,60,N,4,MM,16,14,2,28
C,60,V,4,8K,12,3,0,39
C,60,V,4,DT,15,13,2,29
C,60,V,4,MM,16,14,2,28
C,60,C,5,8K,49,12,4,30
C,60,C,5,DT,19,18,1,24
C,60,C,5,MM,25,22,3,20
C,60,N,5,8K,55,13,4,29
C,60,N,5,DT,15,14,1,28
C,60,N,5,MM,15,13,2,29
C,60,V,5,8K,41,10,4,32
C,60,V,5,DT,16,15,1,27
C,60,V,5,MM,17,15,2,27
C,120,R,2,8K,33,8,4,34
C,120,R,2,DT,9,7,2,35
C,120,R,2,MM,3,2,1,40
C,120,R,3,8K,41,10,4,32
C,120,R,3,DT,34,30,4,12
C,120,R,3,MM,6,6,0,36
C,180,R,2,8K,31,9,0,33
C,180,R,2,DT,23,20,3,22
C,180,R,2,MM,3,2,1,40
C,180,R,3,8K,46,12,4,30
C,180,R,3,DT,27,24,3,18
C,180,R,3,MM,7,6,1,36
