"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","N",3,3,0.493,1,"ns"
"2","C","V",3,3,0.725,1,"ns"
"2","N","V",3,3,0.349,1,"ns"
"3","C","N",3,3,0.686,1,"ns"
"3","C","V",3,3,1,1,"ns"
"3","N","V",3,3,0.686,1,"ns"
"4","C","N",3,3,0.387,1,"ns"
"4","C","V",3,3,0.725,1,"ns"
"4","N","V",3,3,0.274,0.822,"ns"
"5","C","N",3,3,0.751,1,"ns"
"5","C","V",3,3,0.751,1,"ns"
"5","N","V",3,3,1,1,"ns"
