"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","N",3,3,0.614,1,"ns"
"2","C","V",3,3,0.607,1,"ns"
"2","N","V",3,3,0.431,1,"ns"
"3","C","N",3,3,0.347,1,"ns"
"3","C","V",3,3,0.554,1,"ns"
"3","N","V",3,3,0.123,0.369,"ns"
"4","C","N",3,3,0.157,0.471,"ns"
"4","C","V",3,3,0.605,1,"ns"
"4","N","V",3,3,0.184,0.552,"ns"
"5","C","N",3,3,0.335,1,"ns"
"5","C","V",3,3,0.61,1,"ns"
"5","N","V",3,3,0.301,0.903,"ns"
