"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","N",3,3,0.146,0.438,"ns"
"2","C","V",3,3,0.909,1,"ns"
"2","N","V",3,3,0.299,0.897,"ns"
"3","C","N",3,3,0.915,1,"ns"
"3","C","V",3,3,0.234,0.702,"ns"
"3","N","V",3,3,0.458,1,"ns"
"4","C","N",3,3,0.316,0.948,"ns"
"4","C","V",3,3,0.532,1,"ns"
"4","N","V",3,3,0.077,0.23,"ns"
"5","C","N",3,3,0.443,1,"ns"
"5","C","V",3,3,0.174,0.522,"ns"
"5","N","V",3,3,0.892,1,"ns"
