"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","N",3,3,0.685,1,"ns"
"2","C","V",3,3,0.621,1,"ns"
"2","N","V",3,3,0.511,1,"ns"
"3","C","N",3,3,0.235,0.705,"ns"
"3","C","V",3,3,0.642,1,"ns"
"3","N","V",3,3,0.059,0.177,"ns"
"4","C","N",3,3,0.233,0.699,"ns"
"4","C","V",3,3,0.532,1,"ns"
"4","N","V",3,3,0.156,0.468,"ns"
"5","C","N",3,3,0.178,0.534,"ns"
"5","C","V",3,3,0.436,1,"ns"
"5","N","V",3,3,0.185,0.555,"ns"
