"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","N",3,3,0.288,0.864,"ns"
"2","C","V",3,3,1,1,"ns"
"2","N","V",3,3,0.288,0.864,"ns"
"3","C","N",3,3,1,1,"ns"
"3","C","V",3,3,1,1,"ns"
"3","N","V",3,3,1,1,"ns"
"4","C","N",3,3,0.225,0.675,"ns"
"4","C","V",3,3,1,1,"ns"
"4","N","V",3,3,0.225,0.675,"ns"
"5","C","N",3,3,1,1,"ns"
"5","C","V",3,3,0.686,1,"ns"
"5","N","V",3,3,0.686,1,"ns"
