"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,18,2
"C","3",3,23,1
"C","4",3,13.6666666666667,5.77350269189626
"C","5",3,22,2.64575131106459
"N","2",3,17.3333333333333,2.51661147842358
"N","3",3,18.6666666666667,0.577350269189626
"N","4",3,20.6666666666667,0.577350269189626
"N","5",3,18.6666666666667,3.51188458428425
"V","2",3,16,1.73205080756888
"V","3",3,21,3.46410161513775
"V","4",3,15.3333333333333,0.577350269189626
"V","5",3,19.6666666666667,3.21455025366432
