"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","N",3,3,0.738,1,"ns"
"2","C","V",3,3,0.262,0.786,"ns"
"2","N","V",3,3,0.497,1,"ns"
"3","C","N",3,3,0.006,0.018,"*"
"3","C","V",3,3,0.425,1,"ns"
"3","N","V",3,3,0.363,1,"ns"
"4","C","N",3,3,0.169,0.507,"ns"
"4","C","V",3,3,0.667,1,"ns"
"4","N","V",3,3,0.000348,0.001,"**"
"5","C","N",3,3,0.264,0.792,"ns"
"5","C","V",3,3,0.389,1,"ns"
"5","N","V",3,3,0.735,1,"ns"
