"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","N",3,3,0.2,0.6,"ns"
"2","C","V",3,3,0.07,0.211,"ns"
"2","N","V",3,3,0.77,1,"ns"
"3","C","N",3,3,0.000778,0.002,"**"
"3","C","V",3,3,0.394,1,"ns"
"3","N","V",3,3,0.335,1,"ns"
"4","C","N",3,3,0.217,0.651,"ns"
"4","C","V",3,3,0.676,1,"ns"
"4","N","V",3,3,0.027,0.081,"ns"
"5","C","N",3,3,0.189,0.567,"ns"
"5","C","V",3,3,0.433,1,"ns"
"5","N","V",3,3,0.599,1,"ns"
