"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","N",3,3,0.289,0.867,"ns"
"2","C","V",3,3,0.897,1,"ns"
"2","N","V",3,3,0.506,1,"ns"
"3","C","N",3,3,0.899,1,"ns"
"3","C","V",3,3,0.53,1,"ns"
"3","N","V",3,3,0.438,1,"ns"
"4","C","N",3,3,0.225,0.675,"ns"
"4","C","V",3,3,0.422,1,"ns"
"4","N","V",3,3,0.099,0.297,"ns"
"5","C","N",3,3,0.199,0.597,"ns"
"5","C","V",3,3,0.135,0.405,"ns"
"5","N","V",3,3,1,1,"ns"
