"diff","lwr","upr","p adj"
"30:2-10:2",0.333333333333334,-2.69909020565109,3.36575687231775,0.999993778113465
"60:2-10:2",1,-2.03242353898442,4.03242353898442,0.969428400980397
"120:2-10:2",1.33333333333333,-1.69909020565109,4.36575687231776,0.853031715689353
"180:2-10:2",1.33333333333333,-1.69909020565109,4.36575687231776,0.853031715689353
"10:3-10:2",1,-2.03242353898442,4.03242353898442,0.969428400980397
"30:3-10:2",1,-2.03242353898442,4.03242353898442,0.969428400980397
"60:3-10:2",1.66666666666667,-1.36575687231775,4.69909020565109,0.641271000138308
"120:3-10:2",1.66666666666667,-1.36575687231775,4.69909020565109,0.641271000138308
"180:3-10:2",1.33333333333333,-1.69909020565109,4.36575687231775,0.853031715689353
"60:2-30:2",0.666666666666667,-2.36575687231775,3.69909020565109,0.998168899967831
"120:2-30:2",1,-2.03242353898442,4.03242353898442,0.969428400980397
"180:2-30:2",1,-2.03242353898442,4.03242353898442,0.969428400980397
"10:3-30:2",0.666666666666667,-2.36575687231775,3.69909020565109,0.998168899967831
"30:3-30:2",0.666666666666667,-2.36575687231775,3.69909020565109,0.998168899967831
"60:3-30:2",1.33333333333333,-1.69909020565109,4.36575687231775,0.853031715689353
"120:3-30:2",1.33333333333333,-1.69909020565109,4.36575687231775,0.853031715689353
"180:3-30:2",1,-2.03242353898442,4.03242353898442,0.969428400980397
"120:2-60:2",0.333333333333333,-2.69909020565109,3.36575687231775,0.999993778113465
"180:2-60:2",0.333333333333333,-2.69909020565109,3.36575687231775,0.999993778113465
"10:3-60:2",-4.44089209850063e-16,-3.03242353898442,3.03242353898442,1
"30:3-60:2",0,-3.03242353898442,3.03242353898442,1
"60:3-60:2",0.666666666666667,-2.36575687231775,3.69909020565109,0.998168899967831
"120:3-60:2",0.666666666666667,-2.36575687231775,3.69909020565109,0.998168899967831
"180:3-60:2",0.333333333333333,-2.69909020565109,3.36575687231775,0.999993778113465
"180:2-120:2",0,-3.03242353898442,3.03242353898442,1
"10:3-120:2",-0.333333333333334,-3.36575687231775,2.69909020565109,0.999993778113465
"30:3-120:2",-0.333333333333333,-3.36575687231775,2.69909020565109,0.999993778113465
"60:3-120:2",0.333333333333333,-2.69909020565109,3.36575687231775,0.999993778113465
"120:3-120:2",0.333333333333333,-2.69909020565109,3.36575687231775,0.999993778113465
"180:3-120:2",-8.88178419700125e-16,-3.03242353898442,3.03242353898442,1
"10:3-180:2",-0.333333333333334,-3.36575687231775,2.69909020565109,0.999993778113465
"30:3-180:2",-0.333333333333333,-3.36575687231775,2.69909020565109,0.999993778113465
"60:3-180:2",0.333333333333333,-2.69909020565109,3.36575687231775,0.999993778113465
"120:3-180:2",0.333333333333333,-2.69909020565109,3.36575687231775,0.999993778113465
"180:3-180:2",-8.88178419700125e-16,-3.03242353898442,3.03242353898442,1
"30:3-10:3",4.44089209850063e-16,-3.03242353898442,3.03242353898442,1
"60:3-10:3",0.666666666666667,-2.36575687231775,3.69909020565109,0.998168899967831
"120:3-10:3",0.666666666666667,-2.36575687231775,3.69909020565109,0.998168899967831
"180:3-10:3",0.333333333333333,-2.69909020565109,3.36575687231775,0.999993778113465
"60:3-30:3",0.666666666666667,-2.36575687231775,3.69909020565109,0.998168899967831
"120:3-30:3",0.666666666666667,-2.36575687231775,3.69909020565109,0.998168899967831
"180:3-30:3",0.333333333333333,-2.69909020565109,3.36575687231775,0.999993778113465
"120:3-60:3",0,-3.03242353898442,3.03242353898442,1
"180:3-60:3",-0.333333333333334,-3.36575687231775,2.69909020565109,0.999993778113465
"180:3-120:3",-0.333333333333334,-3.36575687231775,2.69909020565109,0.999993778113465
