"Evenness.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" 2 "10" "30" 3 3 0.532 1 "ns"
"2" 2 "10" "60" 3 3 0.878 1 "ns"
"3" 2 "10" "120" 3 3 0.246 1 "ns"
"4" 2 "10" "180" 3 3 0.687 1 "ns"
"5" 2 "30" "60" 3 3 0.607 1 "ns"
"6" 2 "30" "120" 3 3 0.078 0.782 "ns"
"7" 2 "30" "180" 3 3 0.425 1 "ns"
"8" 2 "60" "120" 3 3 0.171 1 "ns"
"9" 2 "60" "180" 3 3 0.609 1 "ns"
"10" 2 "120" "180" 3 3 0.676 1 "ns"
"11" 3 "10" "30" 3 3 0.9 1 "ns"
"12" 3 "10" "60" 3 3 0.603 1 "ns"
"13" 3 "10" "120" 3 3 0.817 1 "ns"
"14" 3 "10" "180" 3 3 1 1 "ns"
"15" 3 "30" "60" 3 3 0.474 1 "ns"
"16" 3 "30" "120" 3 3 0.725 1 "ns"
"17" 3 "30" "180" 3 3 0.869 1 "ns"
"18" 3 "60" "120" 3 3 0.825 1 "ns"
"19" 3 "60" "180" 3 3 0.57 1 "ns"
"20" 3 "120" "180" 3 3 0.805 1 "ns"
