"Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Taxonomy.distribution                      ",2,2.38888888888889,1.19444444444444,1.59259259259259,0.224154442973588
"Evenness.distribution                      ",3,0.333333333333333,0.111111111111111,0.148148148148148,0.929862205818648
"Taxonomy.distribution:Evenness.distribution",6,1.83333333333334,0.305555555555556,0.407407407407408,0.866757294070814
"Residuals                                  ",24,18,0.75,NA,NA
