"Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Taxonomy.distribution                      ",2,8.66666666666665,4.33333333333333,0.575645756457563,0.569916735224215
"Evenness.distribution                      ",3,125.111111111111,41.7037037037037,5.539975399754,0.00491244287725746
"Taxonomy.distribution:Evenness.distribution",6,123.555555555556,20.5925925925926,2.73554735547355,0.0360580215663756
"Residuals                                  ",24,180.666666666667,7.52777777777778,NA,NA
